id	text
1	У них был уютный, спокойный дом, крепкая семья.
2	Дорога вела в глухой лес, петляя по склонам.
3	Мне было лень идти сметать снег, лежавший на машине.
4	На кустах, росших по берегам реки, появились листочки.
5	Обещают, что в этом году лето будет жарким.
6	Вдалеке за рекой виднелись крыши старинного замка.
7	Они заметили вагон красного цвета и переглянулись
8	В магазине Андрей купил молоко, сметану, творог.
9	От смерти его спасла собака, которая приносила ему еду.
10	В воскресенье вся дружная семья поехала на дачу.
11	Причиной аварии был мобильный телефон, который отвлекал водителя.
12	Они зашли к маминой подруге, которая жила рядом.
13	Старые ступеньки лестницы скрипели и выглядели ненадежными.
14	С самой первой страницы история захватывает читателя.
15	В вопросе командира ясно слышался упрёк солдату.
16	Среди всякого сора девочка нашла разноцветные камушки.
17	Я увидел осу, летавшую вперед и назад по комнате.
18	Я купил специальную мазь, которая помогает при ожогах.
19	Недалеко был сложен стог сена, рядом стояли грабли.
20	Коробку с подарками украшал бант огромного размера.
21	В доме лесника охотники нашли крупу, сухари и спички.
22	Перед поворотом мопед затормозил и остановился.
23	В грязной воде микробы размножаются особенно быстро.
24	Брошенный мальчиком снежок попал в окно второго этажа.
25	Я отдал последнюю монету, найденную в кармане.
26	Девочка никак не могла вынуть соринку, попавшую в глаз.
27	Чтоб было удобнее, поправь ремешок своего рюкзака.
28	Сломанную вчера розетку сумел починить только электрик.
29	Вася любил сгущенку, особенно с чаем.
30	На диване лежало покрывало ярко зеленого цвета.
